date,korea,other,whole,KOSPI
20081218,0.43,0.57,276188,1175.91
20081219,0.421,0.579,335194,1180.97
20081222,0.346,0.654,853036,1179.61
20081223,0.427,0.573,271619,1144.31
20081224,0.368,0.632,312128,1128.51
20081226,0.304,0.696,1628074,1117.86
20081229,0.362,0.638,740411,1117.59
20081230,0.394,0.606,313208,1124.47
20090102,0.538,0.462,1060574,1157.4
20090105,0.582,0.418,716002,1173.57
20090106,0.667,0.333,262574,1194.28
20090107,0.652,0.348,272080,1228.17
20090108,0.65,0.35,266252,1205.7
20090109,0.456,0.544,343705,1180.96
20090112,0.432,0.568,793022,1156.75
20090113,0.529,0.471,239931,1167.71
20090114,0.514,0.486,254837,1182.68
20090115,0.514,0.486,247253,1111.34
20090116,0.501,0.499,254259,1135.2
20090119,0.444,0.556,606969,1150.65
20090120,0.53,0.471,183701,1126.81
20090121,0.515,0.485,192452,1103.61
20090122,0.504,0.496,187720,1116.23
20090123,0.356,0.644,427382,1093.4
20090128,0.39,0.61,1186939,1157.98
20090129,0.42,0.58,512801,1166.56
20090130,0.339,0.661,381659,1162.11
20090202,0.32,0.68,731336,1146.95
20090203,0.399,0.601,232093,1163.2
20090204,0.387,0.613,227072,1195.37
20090205,0.392,0.608,228346,1177.88
20090206,0.558,0.442,284712,1210.26
20090209,0.547,0.453,588990,1202.69
20090210,0.609,0.391,203011,1198.87
20090211,0.626,0.374,211717,1190.18
20090212,0.634,0.366,200456,1179.84
20090213,0.456,0.544,326854,1192.44
20090216,0.469,0.531,717201,1175.47
20090217,0.526,0.474,260962,1127.19
20090218,0.544,0.456,278648,1113.19
20090219,0.537,0.463,282236,1107.1
20090220,0.544,0.456,311609,1065.95
20090223,0.537,0.463,711585,1099.55
20090224,0.57,0.43,271398,1063.88
20090225,0.549,0.451,274085,1067.08
20090226,0.537,0.463,265368,1054.79
20090227,0.461,0.539,293860,1063.03
20090302,0.511,0.489,531677,1018.81
20090303,0.557,0.443,153183,1025.57
20090304,0.581,0.419,151366,1059.26
20090305,0.569,0.431,143626,1058.18
20090306,0.354,0.646,171638,1055.03
20090309,0.405,0.595,431878,1071.73
20090310,0.444,0.556,108062,1092.2
20090311,0.449,0.551,113404,1127.51
20090312,0.545,0.456,127331,1128.39
20090313,0.467,0.533,158910,1126.03
20090316,0.387,0.613,469951,1125.46
20090317,0.452,0.548,119726,1163.88
20090318,0.478,0.522,118482,1169.95
20090319,0.468,0.532,111474,1161.81
20090320,0.395,0.605,181626,1170.94
20090323,0.36,0.64,482654,1199.5
20090324,0.416,0.584,129643,1221.7
20090325,0.422,0.578,117016,1229.02
20090326,0.392,0.608,136606,1243.8
20090327,0.276,0.724,178471,1237.51
20090330,0.215,0.785,428154,1197.46
20090331,0.234,0.766,129435,1206.26
20090402,0.216,0.784,132106,1276.97
20090403,0.461,0.539,184259,1283.75
20090406,0.463,0.537,417241,1297.85
20090407,0.474,0.526,136671,1300.1
20090408,0.464,0.536,134572,1262.07
20090409,0.451,0.549,148521,1316.35
20090410,0.475,0.525,138040,1336.04
20090413,0.499,0.501,383194,1338.26
20090414,0.487,0.513,118335,1342.63
20090415,0.486,0.514,123737,1333.09
20090416,0.431,0.569,140692,1336.72
20090417,0.266,0.734,173746,1329
20090420,0.289,0.711,405221,1336.39
20090421,0.288,0.712,147229,1336.81
20090422,0.285,0.715,142844,1356.02
20090423,0.493,0.507,155735,1368.8
20090424,0.58,0.42,182412,1354.1
20090427,0.515,0.485,562533,1339.83
20090428,0.625,0.375,156549,1300.24
20090429,0.642,0.358,167743,1338.42
20090430,0.588,0.412,205186,1369.36
20090504,0.647,0.353,828963,1397.92
20090506,0.523,0.477,1119420,1393.45
20090507,0.755,0.245,204209,1401.08
20090508,0.654,0.346,214904,1412.13
20090511,0.549,0.451,641419,1415.16
20090512,0.653,0.347,196134,1403.51
20090513,0.65,0.35,204997,1414.52
20090514,0.63,0.37,192841,1380.95
20090515,0.489,0.511,261613,1391.73
20090518,0.469,0.531,773163,1386.68
20090519,0.524,0.476,211150,1428.21
20090520,0.528,0.472,199410,1435.7
20090521,0.517,0.483,202161,1421.65
20090522,0.207,0.793,413890,1403.75
20090525,0.199,0.801,936197,1400.9
20090526,0.242,0.758,249697,1372.04
20090527,0.267,0.733,231231,1362.02
20090528,0.272,0.729,227266,1392.17
20090529,0.684,0.316,372071,1395.89
20090602,0.61,0.39,255077,1412.85
20090603,0.608,0.392,233928,1414.89
20090604,0.557,0.443,243676,1378.14
20090605,0.451,0.549,258314,1394.71
20090608,0.285,0.715,770274,1393.3
20090609,0.44,0.56,183808,1371.84
20090610,0.479,0.521,176394,1414.88
20090611,0.457,0.543,175140,1419.39
20090612,0.487,0.513,237668,1428.59
20090615,0.402,0.598,655165,1412.42
20090616,0.559,0.441,194113,1399.15
20090617,0.575,0.425,192483,1391.17
20090618,0.575,0.425,196479,1375.76
20090619,0.666,0.334,224262,1383.34
20090622,0.574,0.426,607966,1399.71
20090623,0.68,0.32,199135,1360.54
20090624,0.673,0.327,189254,1363.79
20090625,0.139,0.861,576974,1392.73
20090626,0.162,0.838,470938,1394.53
20090629,0.142,0.858,1009873,1388.45
20090630,0.226,0.774,340086,1390.07
20090702,0.313,0.687,294409,1411.48
20090703,0.358,0.642,296496,1420.04
20090706,0.27,0.73,859221,1428.94
20090707,0.412,0.588,216241,1434.2
20090708,0.427,0.573,244053,1431.02
20090709,0.456,0.544,214947,1430.89
20090710,0.481,0.519,262734,1428.62
20090713,0.382,0.618,711505,1378.12
20090714,0.548,0.452,192379,1385.56
20090715,0.553,0.447,172254,1420.86
20090716,0.28,0.72,468488,1432.22
20090717,0.354,0.646,409672,1440.1
20090720,0.322,0.678,984016,1478.51
20090721,0.444,0.556,306825,1488.99
20090722,0.464,0.536,301529,1494.04
20090723,0.666,0.334,361260,1496.49
20090724,0.74,0.26,448368,1502.59
20090727,0.738,0.262,1045637,1524.05
20090728,0.793,0.207,441891,1526.03
20090729,0.784,0.216,464093,1524.32
20090730,0.792,0.208,566394,1534.74
20090731,0.728,0.272,704509,1557.29
20090902,0.552,0.448,190202,1613.16
20090903,0.519,0.481,174427,1613.53
20090904,0.469,0.532,179266,1608.9
20090907,0.52,0.48,530980,1608.57
20090908,0.482,0.518,144143,1619.69
20090909,0.481,0.519,139068,1607.77
20090910,0.68,0.32,172372,1644.68
20090911,0.699,0.301,180066,1651.7
20090914,0.724,0.276,507157,1634.91
20090915,0.712,0.288,149094,1653.4
20090916,0.717,0.283,152021,1683.33
20090917,0.719,0.281,156526,1695.47
20090918,0.652,0.348,167555,1699.71
20090921,0.677,0.323,400016,1695.5
20090922,0.635,0.365,135849,1718.88
20090923,0.662,0.338,133384,1711.47
20090924,0.635,0.365,125239,1693.88
20090925,0.824,0.176,269037,1691.48
20090928,0.803,0.197,572475,1675.55
20090929,0.81,0.19,183166,1690.05
20090930,0.812,0.188,197522,1673.14
20091005,0.627,0.373,829874,1606.9
20091006,0.652,0.348,461446,1598.44
20091007,0.623,0.377,164126,1598
20091008,0.647,0.353,148119,1615.46
20091009,0.747,0.253,149963,1646.79
20091012,0.721,0.279,380232,1639.81
20091013,0.736,0.264,124457,1628.93
20091014,0.726,0.274,115924,1649.09
20091015,0.722,0.278,113921,1658.99
20091016,0.484,0.516,164473,1640.36
20091019,0.497,0.503,372454,1649.07
20091020,0.525,0.475,116180,1659.15
20091021,0.551,0.449,118173,1653.86
